1; 20384356; Julián; Díaz; 5000
2; 30435783; Darío; Pérez; 30002
3; 33456732; Tomas Dario; Amaya; 2000
4; 34129764; Enzo; Flores; 8000
5; 37123284; Matías; Fernández; 5674
6; 29345323; José Miguel; López; 1002
7; 33234563; Arturo; Castro; 1992
8; 31455432; Pablo; Martínez; 10213
9; 44312345; Miguel; Sánchez; 8990
10; 40122342; Facundo Leonel; Hernández; 9912
11; 43200345; Julio; Chávez; 1222
12; 41234322; Jorge Daniel; Escobar; 1332
13; 42098563; Martín; Carmona; 1323
14; 39134323; Juan; Euliarte; 4312
15; 38432133; Enzo; Martínez; 21234
16; 37232445; Manuel; Díaz; 10123
17; 23564334; Pedro; Castelar; 6723
18; 42121214; Daniel; Turcuman; 2002
19; 33442121; Joaquín Manuel; Fernández; 5244
20; 37123284; Tobías; Castro; 5674
